2026-06-22 14:45:01 INFO    sepa  log file: C:\Users\lathe\sepa-signals\data\logs\2026-06-22\14-45-01-intraday\sepa.log
2026-06-22 14:45:01 INFO    sepa.intraday  intraday scan: 703 tickers in ['Buy Alert', 'Momentum', 'Potential Buy', 'Watch']
2026-06-22 14:45:12 WARNING sepa.intraday  intraday MU: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:13 ERROR   yfinance  $AMD: possibly delisted; no price data found  (period=1d)
2026-06-22 14:45:13 ERROR   yfinance  
1 Failed download:
2026-06-22 14:45:13 ERROR   yfinance  ['AMD']: possibly delisted; no price data found  (period=1d)
2026-06-22 14:45:13 WARNING sepa.intraday  intraday INTC: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:13 WARNING sepa.intraday  intraday UNH: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:14 WARNING sepa.intraday  intraday PANW: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:14 WARNING sepa.intraday  intraday QCOM: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:14 WARNING sepa.intraday  intraday STX: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:14 WARNING sepa.intraday  intraday APH: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:15 WARNING sepa.intraday  intraday SAN: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:15 WARNING sepa.intraday  intraday CRWD: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:15 WARNING sepa.intraday  intraday ATEYY: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:16 WARNING sepa.intraday  intraday FCX: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:16 WARNING sepa.intraday  intraday DDOG: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:16 WARNING sepa.intraday  intraday RKLB: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:17 WARNING sepa.intraday  intraday URI: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:17 WARNING sepa.intraday  intraday ALAB: float() argument must be a string or a real number, not 'Series'
